State,St_Code,Year,NDVI,Tr_State,Post,DiD,Rainfall_June,RainyDays_June,Rainfall_May,RainyDays_May,Rainfall_P1,RainyDays_P1,Rainfall_P2,RainyDays_P2,Temp_June,Temp_May,Temp_P1,Temp_P2,Time_To_Treatment,Log_NDVI,Log_Rainfall_June,Log_Rainfall_May,Log_Temp_June,Log_Temp_May,GSDP,AgGDP,Population,SoD,RiceT,RiceK
Gujarat,4,2014,0.237415422,0,1,0,14.60312642,30,2.38047898,31,1.098369501,29,5.92956441,32,305.355893,305.1971435,301.3918437,301.2540424,5,-1.437943837,2.681235644,0.86730172,5.721477959,5.72095794,NA,NA,NA,NA,NA,NA
Gujarat,4,2015,0.23888685,0,1,0,107.1485655,30,1.019959238,31,7.168724716,33,1.559810285,38,304.3743207,306.0642516,302.3250354,301.1353637,6,-1.43176527,4.674216334,0.019762664,5.718258262,5.723795053,NA,NA,NA,NA,NA,NA
Gujarat,4,2016,0.242229166,0,1,0,55.44081944,30,3.517430066,31,0.345341245,28,0.137236058,24,305.2365703,305.9453961,302.2863366,299.2146449,7,-1.417871034,4.015316136,1.257730628,5.721087116,5.723406642,NA,NA,NA,NA,NA,NA
Jharkhand,5,2002,0.463286422,0,0,0,306.9524432,30,73.98125746,31,17.05871461,41,43.06745692,36,302.2034767,303.8394865,301.025962,295.7824024,-7,-0.769409794,5.726692827,4.303811784,5.711100554,5.716499557,NA,NA,NA,NA,1059.03,136.35
Jharkhand,5,2003,0.485165848,0,0,0,257.8296725,30,23.73186586,29,55.23099131,40,127.8619991,40,303.0878267,304.6519752,300.3421337,296.2354027,-6,-0.723264492,5.552299183,3.166818696,5.71402262,5.71917006,NA,NA,NA,NA,2051.74,614.15
Jharkhand,5,2004,0.468212321,0,0,0,221.0059327,30,24.16492429,30,10.28132898,34,17.71036906,28,301.9873543,304.9185439,302.1594973,295.2379746,-5,-0.758833409,5.398189546,3.184902172,5.710385143,5.720044672,5975772,679460,NA,21,1134.23,153.62
Jharkhand,5,2005,0.463301376,0,0,0,170.2696953,30,26.48731894,29,30.93384412,38,130.5026362,28,305.3057547,304.5655777,300.716862,295.4752249,-4,-0.769377517,5.137383623,3.276666088,5.721313749,5.718886426,5784841,736560,NA,NA,1104.12,149.37
Jharkhand,5,2006,0.500642732,0,0,0,192.8962218,30,104.6554696,31,36.4096586,41,30.25013566,36,302.2268293,302.9282323,300.3876354,296.4936127,-3,-0.691862542,5.262152333,4.650673713,5.711177826,5.71349592,5922572,865457,29967,NA,1179.21,183.64
Jharkhand,5,2007,0.454609532,0,0,0,210.8390198,30,49.92063503,31,38.19864824,27,24.53722562,37,302.9422343,303.6755184,300.3001668,296.2988705,-2,-0.7883164,5.351094903,3.910434445,5.713542142,5.715959758,7137711,993415,NA,NA,1198.06,183.31
Jharkhand,5,2008,0.466021612,0,0,0,403.4709773,30,44.18595932,31,23.8514187,32,3.245327235,37,300.770324,304.0268158,300.54537,296.7961483,-1,-0.763523268,6.000104558,3.788407076,5.70634693,5.717115907,7012946,1242345,NA,NA,1196.87,188.44
