"","State","Year","Period","AOD","Post","Tr_State","DiD","DDD","Period_Post","log_AOD","Tr_State_Period","Rainfall_June","RainyDays_June","Rainfall_May","RainyDays_May","Rainfall_P1","RainyDays_P1","Rainfall_P2","RainyDays_P2","Temp_June","Temp_May","Temp_P1","Temp_P2","Rainfall_P","Temp_P","Time_To_Treatment","Log_Rainfall_P","Log_Temp_P","Log_AOD","GSDP","AgGDP","Population","SoD","RiceT","RiceK"
"503","Telangana",2013,1,0.347769381,1,0,0,0,1,-1.05621571716509,0,293.53274213,30,8.421897686,31,6.80630781,39,120.057692539,36,301.600921333333,307.877277096774,304.139897317073,298.01281,120.057692539,298.01281,4,4.78797239840695,5.69713647215869,-1.05621571716509,NA,NA,NA,NA,NA,NA
"504","Telangana",2013,0,0.473079145,1,0,0,0,0,-0.748492578906172,0,293.53274213,30,8.421897686,31,6.80630781,39,120.057692539,36,301.600921333333,307.877277096774,304.139897317073,298.01281,6.80630781,304.139897317073,4,1.91784980132697,5.71748778409495,-0.748492578906172,NA,NA,NA,NA,NA,NA
"505","Telangana",2014,1,0.395855039,1,0,0,0,1,-0.926707197876433,0,45.222629562,30,43.625833229,30,6.576618681,35,99.6774232840001,35,305.116545666667,305.315730645161,303.389387317073,298.995221219512,99.6774232840001,298.995221219512,5,4.60193920482542,5.70042759071953,-0.926707197876433,NA,NA,NA,NA,NA,NA
"506","Telangana",2014,0,0.463541193,1,0,0,0,0,-0.76886002413886,0,45.222629562,30,43.625833229,30,6.576618681,35,99.6774232840001,35,305.116545666667,305.315730645161,303.389387317073,298.995221219512,6.576618681,303.389387317073,5,1.88352073498906,5.71501708712359,-0.76886002413886,NA,NA,NA,NA,NA,NA
"507","Telangana",2015,0,0.356421563,1,0,0,0,0,-1.031641082971,0,257.24717157,30,19.609636818,31,50.199963621,41,23.54519702,41,302.577571666667,307.092364516129,302.743982926829,300.21719902439,50.199963621,302.743982926829,6,3.91601430201615,5.71288750751011,-1.031641082971,NA,NA,NA,NA,NA,NA
"508","Telangana",2015,1,0.479509191,1,0,0,0,1,-0.734992216959134,0,257.24717157,30,19.609636818,31,50.199963621,41,23.54519702,41,302.577571666667,307.092364516129,302.743982926829,300.21719902439,23.54519702,300.21719902439,6,3.15892185146684,5.70450620944495,-0.734992216959134,NA,NA,NA,NA,NA,NA
"509","Telangana",2016,0,0.436732529,1,0,0,0,0,-0.828434333057723,0,270.64626379,30,25.467440597,29,5.79154637,35,9.312094205,23,302.980646666667,306.808960967742,305.585041219512,298.486022682927,5.79154637,305.585041219512,7,1.75639933191955,5.7222281072053,-0.828434333057723,NA,NA,NA,NA,NA,NA
"510","Telangana",2016,1,0.487333436,1,0,0,0,1,-0.71880671667023,0,270.64626379,30,25.467440597,29,5.79154637,35,9.312094205,23,302.980646666667,306.808960967742,305.585041219512,298.486022682927,9.312094205,298.486022682927,7,2.23131400745423,5.6987231065535,-0.71880671667023,NA,NA,NA,NA,NA,NA
"511","Uttar Pradesh",2002,0,0.394973011,0,0,0,0,0,-0.928937842997661,0,73.76153398,30,25.63557311,30,4.595163775,41,18.193933314,40,305.429412666667,305.731727741935,300.806764146341,296.23957097561,4.595163775,300.806764146341,-7,1.52500439717467,5.70646807901149,-0.928937842997661,NA,NA,NA,NA,"5213.51","5209.2"
"512","Uttar Pradesh",2002,1,0.575774739,0,0,0,0,0,-0.552038772902239,0,73.76153398,30,25.63557311,30,4.595163775,41,18.193933314,40,305.429412666667,305.731727741935,300.806764146341,296.23957097561,18.193933314,296.23957097561,-7,2.90108820411889,5.69116848837183,-0.552038772902239,NA,NA,NA,NA,"5213.51","5209.2"
